Date,Open,High,Low,Close,Volume,,,,,,
9-Mar-17,138.74,138.79,137.05,138.68,22155904,,,,,,
8-Mar-17,138.95,139.8,138.82,139,18707236,,,,,,
7-Mar-17,139.06,139.98,138.79,139.52,17446297,,,,,,
6-Mar-17,139.36,139.77,138.6,139.34,21750044,,,,,,
3-Mar-17,138.78,139.83,138.59,139.78,21571121,,,,,,
2-Mar-17,140,140.28,138.76,138.96,26210984,,,,,,
1-Mar-17,137.89,140.15,137.6,139.79,36414585,,,,,,
9-Feb-17,131.65,132.44,131.12,132.42,28349859,,,,,,
8-Feb-17,131.35,132.22,131.22,132.04,23004072,,,,,,
7-Feb-17,130.54,132.09,130.45,131.53,38183841,,,,,,
6-Feb-17,129.13,130.5,128.9,130.29,26845924,,,,,,
3-Feb-17,128.31,129.19,128.16,129.08,24507301,,,,,,
2-Feb-17,127.98,129.39,127.78,128.53,33710411,,,,,,
1-Feb-17,127.03,130.49,127.01,128.75,111985040,,,,,,
31-Jan-17,121.15,121.39,120.62,121.35,49200993,,,,,,
30-Jan-17,120.93,121.63,120.66,121.63,30377503,,,,,,
27-Jan-17,122.14,122.35,121.6,121.95,20562944,,,,,,
26-Jan-17,121.67,122.44,121.6,121.94,26337576,,,,,,
25-Jan-17,120.42,122.1,120.28,121.88,32586673,,,,,,
24-Jan-17,119.55,120.1,119.5,119.97,23211038,,,,,,
23-Jan-17,120,120.81,119.77,120.08,22050218,,,,,,
20-Jan-17,120.45,120.45,119.73,120,32597892,,,,,,
19-Jan-17,119.4,120.09,119.37,119.78,25597291,,,,,,
18-Jan-17,120,120.5,119.71,119.99,23712961,,,,,,
17-Jan-17,118.34,120.24,118.22,120,34439843,,,,,,
13-Jan-17,119.11,119.62,118.81,119.04,26111948,,,,,,
12-Jan-17,118.9,119.3,118.21,119.25,27086220,,,,,,
11-Jan-17,118.74,119.93,118.6,119.75,27588593,,,,,,
10-Jan-17,118.77,119.38,118.3,119.11,24462051,,,,,,
9-Jan-17,117.95,119.43,117.94,118.99,33561948,,,,,,
6-Jan-17,116.78,118.16,116.47,117.91,31751900,,,,,,
5-Jan-17,115.92,116.86,115.81,116.61,22193587,,,,,,
4-Jan-17,115.85,116.51,115.75,116.02,21118116,,,,,,
3-Jan-17,115.8,116.33,114.76,116.15,28781865,,,,,,
9-Dec-16,112.31,114.7,112.31,113.95,34402627,,,,,,
8-Dec-16,110.86,112.43,110.6,112.12,27068316,,,,,,
7-Dec-16,109.26,111.19,109.16,111.03,29998719,,,,,,
6-Dec-16,109.5,110.36,109.19,109.95,26195462,,,,,,
5-Dec-16,110,110.03,108.25,109.11,34324540,,,,,,
2-Dec-16,109.17,110.09,108.85,109.9,26527997,,,,,,
1-Dec-16,110.36,110.94,109.03,109.49,37086862,,,,,,
9-Nov-16,109.88,111.32,108.05,110.88,59176361,,,,,,
8-Nov-16,110.31,111.72,109.7,111.06,24254179,,,,,,
7-Nov-16,110.08,110.51,109.46,110.41,32560000,,,,,,
4-Nov-16,108.53,110.25,108.11,108.84,30836997,,,,,,
3-Nov-16,110.98,111.46,109.55,109.83,26932602,,,,,,
2-Nov-16,111.4,112.35,111.23,111.59,28331709,,,,,,
1-Nov-16,113.46,113.77,110.53,111.49,43825812,,,,,,
31-Oct-16,113.65,114.23,113.2,113.54,26419398,,,,,,
28-Oct-16,113.87,115.21,113.45,113.72,37861662,,,,,,
27-Oct-16,115.39,115.86,114.1,114.48,34562045,,,,,,
26-Oct-16,114.31,115.7,113.31,115.59,66134219,,,,,,
25-Oct-16,117.95,118.36,117.31,118.25,48128970,,,,,,
24-Oct-16,117.1,117.74,117,117.65,23538673,,,,,,
21-Oct-16,116.81,116.91,116.28,116.6,23192665,,,,,,
20-Oct-16,116.86,117.38,116.33,117.06,24125801,,,,,,
19-Oct-16,117.25,117.76,113.8,117.12,20034594,,,,,,
18-Oct-16,118.18,118.21,117.45,117.47,24553478,,,,,,
17-Oct-16,117.33,117.84,116.78,117.55,23624896,,,,,,
14-Oct-16,117.88,118.17,117.13,117.63,35652191,,,,,,
13-Oct-16,116.79,117.44,115.72,116.98,35192406,,,,,,
12-Oct-16,117.35,117.98,116.75,117.34,37586787,,,,,,
11-Oct-16,117.7,118.69,116.2,116.3,64041043,,,,,,
10-Oct-16,115.02,116.75,114.72,116.05,36235956,,,,,,
7-Oct-16,114.31,114.56,113.51,114.06,24358443,,,,,,
6-Oct-16,113.7,114.34,113.13,113.89,28779313,,,,,,
5-Oct-16,113.4,113.66,112.69,113.05,21453089,,,,,,
4-Oct-16,113.06,114.31,112.63,113,29736835,,,,,,
3-Oct-16,112.71,113.05,112.28,112.52,21701760,,,,,,
9-Sep-16,104.64,105.72,103.13,103.13,46556984,,,,,,
